,subj_id,obj_id,class,conf,subj_centerx,subj_centery,subj_depth,obj_centerx,obj_centery,obj_depth,file
0, book, shelf,ON,0.6443219780921936,929.1739807128906, 702.940673828125,1780,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
1, book, shelf,ON,0.5615264177322388,1015.0694580078125, 676.9474487304688,1767,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
2, book, shelf,ON,0.5499337315559387,974.9020385742188, 686.3175048828125,1908,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
3, book, shelf,ON,0.3836299777030945,568.7074584960938, 752.6246032714844,202,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
4, box, shelf,ON,0.37153321504592896,207.6097183227539, 492.17518615722656,0,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
5, book, shelf,ON,0.3213123083114624,949.2057800292969, 582.4935302734375,1768,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
6, book, shelf,ON,0.31699106097221375,554.6773681640625, 648.3555603027344,1699,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
7, book, shelf,ON,0.3130369484424591,163.6019287109375, 691.2948303222656,0,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
8, book, shelf,ON,0.264473557472229,208.59980010986328, 701.6477661132812,0,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
9, book, shelf,ON,0.22642521560192108,127.23195266723633, 683.8625183105469,0,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
10, book, shelf,ON,0.22541385889053345,974.9020385742188, 686.3175048828125,1908,942.3191223144531, 676.4291687011719,1887,data/test_images/color_test.png
11, book, shelf,ON,0.22241079807281494,155.45775985717773, 593.1179809570312,0,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
12, book, shelf,ON,0.22200630605220795,96.16004180908203, 673.9290466308594,0,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
13, bag, table,ON,0.21026375889778137,1414.4166870117188, 758.847900390625,1120,1637.5536499023438, 933.4653625488281,0,data/test_images/color_test.png
14, book, shelf,ON,0.20842428505420685,929.1739807128906, 702.940673828125,1780,942.3191223144531, 676.4291687011719,1887,data/test_images/color_test.png
15, box, shelf,ON,0.2043336033821106,207.6097183227539, 492.17518615722656,0,175.898193359375, 668.97119140625,0,data/test_images/color_test.png
16, book, shelf,ON,0.15621909499168396,208.59980010986328, 701.6477661132812,0,175.898193359375, 668.97119140625,0,data/test_images/color_test.png
17, book, shelf,ON,0.1511486917734146,949.2057800292969, 582.4935302734375,1768,946.2037353515625, 609.15869140625,1753,data/test_images/color_test.png
18, book, shelf,ON,0.13952617347240448,949.2057800292969, 582.4935302734375,1768,942.3191223144531, 676.4291687011719,1887,data/test_images/color_test.png
19, book, shelf,ON,0.1273837387561798,155.45775985717773, 593.1179809570312,0,175.898193359375, 668.97119140625,0,data/test_images/color_test.png
20, book, shelf,ON,0.12357825040817261,127.23195266723633, 683.8625183105469,0,175.898193359375, 668.97119140625,0,data/test_images/color_test.png
21, book, shelf,ON,0.11401644349098206,96.16004180908203, 673.9290466308594,0,175.898193359375, 668.97119140625,0,data/test_images/color_test.png
22, book, shelf,ON,0.10428241640329361,163.6019287109375, 691.2948303222656,0,175.898193359375, 668.97119140625,0,data/test_images/color_test.png
23, book, shelf,ON,0.10401184111833572,1015.0694580078125, 676.9474487304688,1767,942.3191223144531, 676.4291687011719,1887,data/test_images/color_test.png
24, bag, shelf,ON,0.10174492746591568,1414.4166870117188, 758.847900390625,1120,1632.87841796875, 629.2507019042969,690,data/test_images/color_test.png
25, book, shelf,ON,0.0999305322766304,1713.699951171875, 667.8614807128906,0,1632.87841796875, 629.2507019042969,690,data/test_images/color_test.png
26, paper, shelf,ON,0.09784001857042313,1756.8230590820312, 702.1286010742188,0,1632.87841796875, 629.2507019042969,690,data/test_images/color_test.png
27, paper, shelf,ON,0.09451975673437119,1017.8794860839844, 677.0256958007812,1767,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
28, book, shelf,ON,0.09392523765563965,554.6773681640625, 648.3555603027344,1699,565.9457092285156, 620.1885986328125,1697,data/test_images/color_test.png
29, book, shelf,ON,0.09269805252552032,568.7074584960938, 752.6246032714844,202,564.2195281982422, 722.0908203125,2041,data/test_images/color_test.png
30, bed, room,IN,0.08855629712343216,524.7235107421875, 934.8022766113281,1404,959.0390625, 539.0391845703125,1801,data/test_images/color_test.png
31, book, shelf,ON,0.08721427619457245,554.6773681640625, 648.3555603027344,1699,564.2195281982422, 722.0908203125,2041,data/test_images/color_test.png
32, pillow, shelf,ON,0.08118773996829987,321.56116485595703, 778.82421875,0,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
33, shelf, shelf,ON,0.07880093157291412,558.771728515625, 653.7824096679688,1700,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
34, box, shelf,ON,0.07238246500492096,207.6097183227539, 492.17518615722656,0,464.7917175292969, 509.77549743652344,1922,data/test_images/color_test.png
35, shelf, shelf,ON,0.06251239031553268,946.2037353515625, 609.15869140625,1753,526.6397838592529, 677.4459075927734,1596,data/test_images/color_test.png
36, roof, building,ON,0.06249954178929329,355.6047706604004, 397.4654541015625,1942,536.9634399414062, 527.1029777526855,1937,data/test_images/color_test.png
