s_id,Xs,Ys,Zs,o_id,Xo,Yo,Zo
 book,0.0, -0.0, 0, shelf,483.631362915039, -64.52217800815879, 690

 paper,0.0, -0.0, 0, shelf,483.631362915039, -64.52217800815879, 690

 paper,106.53442907333373, -253.6803647957368, 1767, shelf,-720.4613593339919, -229.83331883505087, 1596

 book,-717.3366161346435, -192.88251893960225, 1699, shelf,-696.5730535825093, -142.57479445929104, 1697

 book,-82.33447227478027, -45.00006838111848, 202, shelf,-841.4457739035288, -389.3851144116753, 2041

 bed,-636.5918655395507, -580.7577902704435, 1404, room,-1.8027587890624999, 1.8130173892202426, 1801

 book,-717.3366161346435, -192.88251893960225, 1699, shelf,-841.4457739035288, -389.3851144116753, 2041

 pillow,-0.0, -0.0, 0, shelf,-720.4613593339919, -229.83331883505087, 1596

 shelf,-710.5083974202473, -202.66200563975482, 1700, shelf,-720.4613593339919, -229.83331883505087, 1596

 box,-0.0, 0.0, 0, shelf,-991.4482488632201, 60.864047978070225, 1922

 shelf,-25.19255409240743, -127.02142225411384, 1753, shelf,-720.4613593339919, -229.83331883505087, 1596

 roof,-1222.6411826848982, 290.0131229855228, 1942, building,-853.5643925348917, 26.173834843834733, 1937

 book,-0.0, -0.0, 0, shelf,-0.0, -0.0, 0

 shelf,-1127.1713183085121, -159.52446229190204, 1823, shelf,-720.4613593339919, -229.83331883505087, 1596

 pillow,-0.0, -0.0, 0, bed,-636.5918655395507, -580.7577902704435, 1404

 shelf,-720.4613593339919, -229.83331883505087, 1596, book,29.617801666259762, -292.49802969718166, 1908

 pole,223.98546295166014, 0.8878852511339556, 882, room,-1.8027587890624999, 1.8130173892202426, 1801

 light,-0.0, 0.0, 0, building,-853.5643925348917, 26.173834843834733, 1937

 shelf,-720.4613593339919, -229.83331883505087, 1596, room,-1.8027587890624999, 1.8130173892202426, 1801

 shelf,-1096.8220891952512, -213.67754598334398, 1766, shelf,-720.4613593339919, -229.83331883505087, 1596

 shelf,-696.5730535825093, -142.57479445929104, 1697, shelf,-720.4613593339919, -229.83331883505087, 1596

 paper,106.53442907333373, -253.6803647957368, 1767, pole,223.98546295166014, 0.8878852511339556, 882

 pillow,-47.81721172332763, 264.9981938130541, 2019, shelf,-720.4613593339919, -229.83331883505087, 1596

 paper,106.53442907333373, -253.6803647957368, 1767, board,224.09598884582516, -2.811830805312567, 882

 shelf,-720.4613593339919, -229.83331883505087, 1596, book,-19.879355112711796, -78.71424995252968, 1768

 book,-717.3366161346435, -192.88251893960225, 1699, shelf,-710.5083974202473, -202.66200563975482, 1700

 shelf,-0.0, -0.0, 0, shelf,-720.4613593339919, -229.83331883505087, 1596

 shelf,-841.4457739035288, -389.3851144116753, 2041, shelf,-720.4613593339919, -229.83331883505087, 1596

 shelf,-34.75397520065285, -269.72886258556315, 1887, shelf,-720.4613593339919, -229.83331883505087, 1596

 shelf,-250.01434278488156, -88.6385455371045, 1187, shelf,-720.4613593339919, -229.83331883505087, 1596

 light,-0.0, 0.0, 0, room,-1.8027587890624999, 1.8130173892202426, 1801

 table,0.0, -0.0, 0, room,-1.8027587890624999, 1.8130173892202426, 1801

 board,224.09598884582516, -2.811830805312567, 882, room,-1.8027587890624999, 1.8130173892202426, 1801

 shelf,-720.4613593339919, -229.83331883505087, 1596, book,-0.0, -0.0, 0

 box,-0.0, 0.0, 0, room,-1.8027587890624999, 1.8130173892202426, 1801

 shelf,-720.4613593339919, -229.83331883505087, 1596, book,-0.0, -0.0, 0

 shelf,-426.5038670221964, -378.41294303630565, 2006, shelf,-720.4613593339919, -229.83331883505087, 1596

 shelf,-34.75397520065285, -269.72886258556315, 1887, room,-1.8027587890624999, 1.8130173892202426, 1801

 pillow,-0.0, -0.0, 0, shelf,-0.0, -0.0, 0

 box,-0.0, 0.0, 0, building,-853.5643925348917, 26.173834843834733, 1937

 shelf,-0.0, -0.0, 0, room,-1.8027587890624999, 1.8130173892202426, 1801

 shelf,-34.75397520065285, -269.72886258556315, 1887, building,-853.5643925348917, 26.173834843834733, 1937

 shelf,-426.5038670221964, -378.41294303630565, 2006, room,-1.8027587890624999, 1.8130173892202426, 1801

 shelf,968.2753524780272, -13.943767017157047, 1430, room,-1.8027587890624999, 1.8130173892202426, 1801

 shelf,-841.4457739035288, -389.3851144116753, 2041, room,-1.8027587890624999, 1.8130173892202426, 1801

 shelf,-25.19255409240743, -127.02142225411384, 1753, room,-1.8027587890624999, 1.8130173892202426, 1801

 shelf,-720.4613593339919, -229.83331883505087, 1596, book,-0.0, -0.0, 0

 shelf,-991.4482488632201, 60.864047978070225, 1922, shelf,-720.4613593339919, -229.83331883505087, 1596

 shelf,-841.4457739035288, -389.3851144116753, 2041, building,-853.5643925348917, 26.173834843834733, 1937

 shelf,-426.5038670221964, -378.41294303630565, 2006, building,-853.5643925348917, 26.173834843834733, 1937

 shelf,-710.5083974202473, -202.66200563975482, 1700, building,-853.5643925348917, 26.173834843834733, 1937

 roof,-1222.6411826848982, 290.0131229855228, 1942, shelf,-720.4613593339919, -229.83331883505087, 1596

 shelf,-720.4613593339919, -229.83331883505087, 1596, book,-82.33447227478027, -45.00006838111848, 202

 shelf,-696.5730535825093, -142.57479445929104, 1697, building,-853.5643925348917, 26.173834843834733, 1937

 book,-57.15657742818196, -303.87697764169525, 1780, room,-1.8027587890624999, 1.8130173892202426, 1801

 shelf,-1127.1713183085121, -159.52446229190204, 1823, building,-853.5643925348917, 26.173834843834733, 1937

 shelf,-720.4613593339919, -229.83331883505087, 1596, book,-717.3366161346435, -192.88251893960225, 1699

