file_name,width,height,timestamp,format,f_description,file
RGB_20211108104106,1920,1080,20211108104106,JPEG,(ISO 10918),C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA\color.jpg
D_20211108104107,1920,1080,20211108104107,PNG,Portable network graphics,C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA\Smooth_mapped.png
RGB_20211110111409,1920,1080,20211110111409,JPEG,(ISO 10918),C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA\color.jpg
D_20211110111410,1920,1080,20211110111410,PNG,Portable network graphics,C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA\Smooth_mapped.png
RGB_20211110111507,1920,1080,20211110111507,JPEG,(ISO 10918),C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA\color.jpg
D_20211110111507,1920,1080,20211110111507,PNG,Portable network graphics,C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA\Smooth_mapped.png
RGB_20211110113510,1920,1080,20211110113510,JPEG,(ISO 10918),C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA\color.jpg
D_20211110113510,1920,1080,20211110113510,PNG,Portable network graphics,C:\Users\ppou\source\repos\pyKinectAzure\DataAcquisition\filesaving\CITA\Smooth_mapped.png
